label,total_pkts,out_pkts,in_pkts,out_bytes,in_bytes,bigram_OO,bigram_OI,bigram_IO,bigram_II,pkt_1,pkt_2,pkt_3,pkt_4,pkt_5,pkt_6,pkt_7,pkt_8,pkt_9,pkt_10,pkt_11,pkt_12,pkt_13,pkt_14,pkt_15,pkt_16,pkt_17,pkt_18,pkt_19,pkt_20,pkt_21,pkt_22,pkt_23,pkt_24,pkt_25,pkt_26,pkt_27,pkt_28,pkt_29,pkt_30,pkt_31,pkt_32,pkt_33,pkt_34,pkt_35,pkt_36,pkt_37,pkt_38,pkt_39,pkt_40,pkt_41,pkt_42,pkt_43,pkt_44,pkt_45,pkt_46,pkt_47,pkt_48,pkt_49,pkt_50
indiatimes.com,1945,551,1394,292170,777908,314,236,236,1158,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,1314,1314,1314,1314,-54,-54,-1262,-951,66,-1262,-66,-54,-951,-1262,54,1314,66,66,-1262,-66,-54,-951,-2470,-66,54,1314,66,54,1314,-54,-1262,-950,66,-1262
indiatimes.com,1913,542,1371,278477,759367,288,253,253,1118,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-66,-54,-66,-54,-54,-2470,54,-951,-951,-952,-2470,-2470,66,66,54,54,-54,-951,-2470,66,54,-887,66,118,118,118,146,307,118,146,307,146
indiatimes.com,1809,480,1329,273322,755956,288,191,191,1138,66,66,66,66,-66,54,1954,-66,-66,54,54,1954,1954,-66,54,1954,-66,-54,-66,-54,-1262,-951,-1262,66,54,-951,-2470,66,54,-66,-54,-66,-54,-951,-2470,118,66,54,118,-950,-1262,-1262,66,66,54,146,307,146,307,118
meesho.com,321,129,192,42532,89858,77,51,51,141,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-66,-54,-951,-2470,-1262,66,54,-1262,-951,-66,-54,-54,-2470,-951,54,54,-54,-2470,-951,54,118,118,118,118,146,307,146,307,146,307,146,307
meesho.com,445,203,242,72728,88097,101,102,101,140,66,66,66,66,-66,54,1954,-66,54,1954,-66,54,1954,-66,54,1954,-54,1314,-54,-951,66,-1262,66,1314,1314,-1262,54,118,146,307,-54,-54,-1262,-1262,54,-951,118,146,307,-54,-54,-950,66,-1262,66,-1262,54,118,146,307
meesho.com,421,197,224,70940,75420,108,88,88,136,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,1314,1314,-54,1314,1314,-54,-951,66,-1262,66,-1262,54,118,146,307,-54,-54,-1262,-1262,54,-952,118,146,307,-54,-54,-1262,-951,-1262,66,54,118,146,307
meesho.com,387,183,204,58868,77804,106,76,76,128,66,66,66,66,-66,-66,-66,54,54,54,1954,1954,1954,-66,54,1954,-66,-54,-54,-1262,-1262,54,-952,-54,-1262,-952,66,118,146,307,-1262,54,-54,-54,118,146,307,-951,66,-1262,66,-1262,-54,-54,54,118,146,307,-1262,-1262
meesho.com,389,184,205,49346,73833,99,85,84,120,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-1262,-952,66,-1262,54,-66,-66,-66,-54,-54,-1262,118,146,307,-950,66,-1262,54,-54,118,146,307,-952,66,-1262,66,-1262,54,118,146,307,-951,66
meesho.com,392,182,210,53031,79032,103,79,78,131,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-54,-54,-1262,-1262,54,-951,-54,-54,-952,66,118,146,307,-1262,66,-1262,-66,-54,-54,54,118,146,307,-950,66,-1262,66,-1262,54,118,-54,146,307,-950
meesho.com,382,170,212,51349,94932,80,89,89,123,66,66,66,66,-66,-66,54,54,1954,1954,-66,-66,54,54,1954,1954,-54,-54,-118,-2470,-887,66,54,-54,-54,-951,66,-1262,66,118,146,307,-1262,54,-54,-54,118,146,307,-952,66,1314,-1262,66,-1262,54,118,146,307,-54
meesho.com,318,133,185,42754,89925,76,56,56,129,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-54,-1262,-950,-1262,66,54,-66,-54,-2470,-950,54,-66,-54,-54,-1262,-950,-1262,-54,-1262,66,54,-1262,54,118,118,-951,118,118,146,307,146,307,146
meesho.com,328,134,194,42965,91600,75,58,58,136,66,66,66,66,-66,54,1954,-66,-66,54,54,1954,1954,-66,54,1954,-66,-54,-66,-54,-950,66,-1262,66,-1262,54,-1262,-1262,54,-952,-66,118,118,-54,-66,-54,-118,66,146,307,146,307,-1262,66,-888,66,-118,-1262,-888,66
moneycontrol.com,987,343,644,134699,333145,184,158,158,486,66,66,66,66,-66,54,1954,-66,-66,54,54,1954,1954,-66,54,1954,-66,-54,-118,-886,-1262,-1262,-66,-54,-1262,-950,-1262,-54,-54,-2470,-118,-887,66,66,66,54,66,54,54,-54,-54,-118,-887,-2470,66,66,54,118,118,118
moneycontrol.com,834,322,512,114271,239283,193,128,128,384,66,66,66,66,-66,54,1954,-66,-66,54,54,1954,1954,-66,54,1954,-66,-54,-951,66,-1262,66,-1262,-54,-54,-950,54,66,-1262,66,118,146,307,-1262,54,-54,-54,118,146,307,-1262,1314,-1262,54,-950,-54,-54,-118,-952,-1262
moneycontrol.com,202,90,112,28220,52317,53,36,36,76,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-54,-54,-951,-1262,-1262,66,66,54,-54,-54,118,146,307,-1262,-1262,-950,-54,-54,-950,-2470,-54,66,54,54,118,118,146,307,146,307,-54,-2470,-951,-582
moneycontrol.com,327,149,178,44386,65217,101,47,47,131,66,66,66,66,-66,54,1954,-66,-66,-66,54,54,54,1954,1954,1954,-66,-54,-118,-887,-2470,66,66,54,118,146,307,-54,-54,-951,-2470,66,54,118,146,307,-54,-54,-54,-54,-118,-887,-2470,-118,-2470,-887,66,66,54,54
moneycontrol.com,403,159,244,53537,120763,85,73,73,171,66,66,66,66,-66,-66,-66,54,54,54,1954,-66,1954,54,1954,1954,-54,-54,-1262,-1262,-951,-54,54,-54,-1262,-1262,-952,54,-54,-54,118,118,146,307,146,307,-54,-1262,-950,-1262,-54,-118,-2470,-888,66,54,66,54,118,118
moneycontrol.com,204,93,111,27122,49962,60,32,32,79,66,66,66,66,-66,54,1954,-66,54,-66,-66,54,54,1954,1954,1954,-54,-54,-950,-1262,-1262,66,66,54,-54,118,146,307,-54,-54,-1262,-950,-1262,66,54,-54,-118,66,118,146,307,-887,66,-1262,-1262,-54,66,54,118,146
moneycontrol.com,451,243,208,101700,68492,148,94,94,114,66,66,66,66,-66,-66,-66,54,54,54,1954,1954,1954,1314,1314,1314,-66,-66,-66,-54,-118,-887,1314,1314,66,66,54,1954,-1262,66,-1262,54,-54,-118,66,118,146,307,-886,66,-1262,66,-1262,-54,54,118,146,307,-1262,-950
moneycontrol.com,413,160,253,56662,125808,88,71,71,182,66,66,66,66,-66,-66,-66,-66,54,54,54,54,1954,1954,1954,1954,-54,-54,-1262,-118,66,-1262,54,-887,-54,-54,-54,118,146,307,-1262,-118,66,1314,-1262,54,-887,54,-54,118,146,307,-118,66,-887,66,-1262,66,-1262,-54
moneycontrol.com,368,147,221,47948,101344,82,64,64,157,66,66,66,66,-66,54,1954,-66,54,1954,-66,-66,54,54,1954,1954,-66,-54,-1262,-1262,-118,-887,-66,-54,-66,-66,-54,-54,54,-118,66,-1262,66,118,146,307,-1262,54,-887,118,-118,66,146,307,-887,66,-1262,66,-1262,54
moneycontrol.com,345,136,209,48373,101206,80,55,55,154,66,66,66,66,-66,-66,54,54,1954,1954,-66,-66,54,54,1954,1954,-54,-54,-118,-888,-2470,66,66,54,118,146,307,-54,-54,-118,-2470,66,54,-886,118,146,307,1314,1314,-54,-54,-1262,-950,66,-1262,54,118,146,307,-54
